qid,brand,entity,search_mom,search_yoy,news_mom,news_yoy,status
Q125784200,Corteiz,Corteiz - Topic (brand),-9%,-80%,,,ok
Q1439858,Nina Ricci,Nina Ricci - Fashion company,-6%,+50%,,,ok
Q688195,Bally,Bally - Fashion house,-3%,+10%,,,ok
Q1422386,K-Swiss,K-Swiss - Shoe manufacturing company,-3%,-10%,,,ok
Q1355658,Karl Kani,Karl Kani - Topic (wordmark),+5%,-40%,,,ok
Q2832297,ALDO,Aldo - Retail company,-4%,+130%,,,ok
Q1484081,G-Star Raw,G-Star RAW - Company,+6%,-10%,,,ok
Q278948,Aquascutum,Aquascutum - Clothing company,+600%,+60%,,,ok
Q2820820,K-way,K-Way - Textile industry company,-60%,-70%,,,ok
Q2707765,Viktor & Rolf,Viktor&Rolf - Topic (wordmark),-4%,-10%,,,ok
Q2672003,Celio,Celio - Clothing retail company,-30%,-10%,,,ok
Q25222241,'47,'47 - Brand,0%,-9%,,,ok
Q7193265,Rocawear,Rocawear - Topic (wordmark),-3%,-20%,,,ok
Q4876226,Beams,Beams - Clothing company,-60%,-30%,,,ok
Q16992933,Fabletics,Fabletics - Sportswear company,+40%,-30%,,,ok
Q917561,Kitsune,Maison Kitsune - Topic (brand),-20%,-30%,,,ok
