qid,brand,description,sitelinks,en_title,n_wikipedias,review_flag,pv_median,trends_score,news_score,wiki_mom,wiki_yoy,wiki_latest,search_mom,search_yoy,news_mom,news_yoy,elig_pv,elig_trends,elig_news,trends_ratio,news_ratio,pv_ratio,sources,attention,breadth,raw,rank,interest_index,tier
Q2782017,Napapijri,Italian clothing brand,11.0,Napapijri,10,,9148.0,,,+32%,+3%,7651.0,>5000 (breakout),+30%,0%,0%,True,False,False,0.0,0.0,0.2951215561129051,pv,0.2951215561129051,0.3683958965174856,0.3061127071735922,74,31.2,C
Q246655,Next,British retailer,14.0,Next plc,13,,9868.0,192.23,73.06,+3%,+9%,9917.0,+3%,+1%,+850%,>5000 (breakout),True,True,True,0.3378740129322699,0.1868443747250156,0.3065154884388044,trends+news+pv,0.2862934165714005,0.4156066225731105,0.305690397471657,75,31.2,C
Q894874,Bottega Veneta,Italian fashion company,39.0,Bottega Veneta,38,,16653.0,88.46,40.47,-9%,-39%,12160.0,-3%,-2%,>5000 (breakout),>5000 (breakout),True,True,True,0.22920161556551938,0.13906146343818906,0.39818426606157337,trends+news+pv,0.23595610002653108,0.6936665380600233,0.30461266573155493,76,31.1,C
Q158285,Diesel,"Italian retail clothing company, located in Breganze, Italy",29.0,Diesel (company),29,,14598.0,119.54,45.73,+33%,+30%,16667.0,-2%,+5%,+950%,>5000 (breakout),True,True,True,0.26644086365704345,0.14782258545937774,0.37280740824771486,trends+news+pv,0.252128689115878,0.5981601002283233,0.30403340078274477,77,31.0,C
Q43452713,On,Swiss Performance Running Shoes & Clothing,14.0,On (company),13,,49532.0,68.8,48.62,-32%,-53%,45309.0,+8%,+20%,+1050%,>5000 (breakout),True,True,True,0.2021335605556705,0.1524220051237856,0.6867217241380683,trends+news+pv,0.28413772664258463,0.4156066225731105,0.3038580610321635,78,31.0,C
Q634881,Tommy Hilfiger B.V.,American multinational corporation that designs and manufactures apparel,37.0,Tommy Hilfiger (company),35,,13649.0,89.6,44.68,-7%,-11%,12902.0,-3%,-10%,+950%,>5000 (breakout),True,True,True,0.2306737690838047,0.14611566382689967,0.3604858905658239,trends+news+pv,0.23126876180313705,0.675646145493611,0.2979253693567081,79,30.4,C
Q2072372,streetwear,"style of casual clothing developed in the 1990s from Californian surf and skate culture to encompass elements of sportswear, hip hop, punk and Japanese street fashion",17.0,Streetwear,15,,7465.0,,,-1%,-7%,6111.0,-7%,-20%,+350%,>5000 (breakout),True,False,False,0.0,0.0,0.2665954667079846,pv,0.2665954667079846,0.45797619248420973,0.29530257557441836,80,30.1,C
Q1548951,Moncler,Italian luxury fashion company,22.0,Moncler,21,,20143.0,106.06,36.53,+8%,-17%,13625.0,+20%,-6%,+1800%,>5000 (breakout),True,True,True,0.2509689642713348,0.13211892439461892,0.43792519352733805,trends+news+pv,0.2527051981595207,0.5209904731776234,0.2929479894122361,81,29.9,C
Q950042,Stone Island,Italian brand,20.0,Stone Island,18,,19839.0,58.06,,+19%,-38%,14366.0,-20%,+70%,+1350%,>5000 (breakout),True,True,False,0.18568752291128537,0.0,0.4346080266434442,trends+pv,0.25680766683475936,0.49674492552822314,0.2927982556387789,82,29.9,C
Q2736351,Agatha Ruiz de la Prada,Spanish fashion designer and Grandee,14.0,Ágatha Ruiz de la Prada,12,,7693.0,,,+7%,-52%,5052.0,-8%,-30%,0%,0%,True,False,False,0.0,0.0,0.27063609625571744,pv,0.27063609625571744,0.4156066225731105,0.29238167520332636,83,29.8,C
Q123700068,Alo Yoga,athletic apparel retailer,5.0,Alo Yoga,5,,20564.0,161.6,73.06,-15%,+1%,20343.0,+30%,+40%,+900%,>5000 (breakout),True,True,True,0.30978820997106155,0.1868443747250156,0.44247796876419776,trends+news+pv,0.299443011155875,0.24837246276411157,0.2917824288971105,84,29.8,C
